Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.35,649226,Gerede (Bolu),40.73556,32.48333,7,ML,1.3,Türkiye,Bolu,Gerede,Demirler,1/19/2025 3:33:00 AM,False,
0.18,649267,Şereflikoçhisar (Ankara),39.24056,33.25667,6.98,ML,1,Türkiye,Ankara,Şereflikoçhisar,Büyükkışla,1/19/2025 6:17:53 PM,False,
0.22,649312,Çelebi (Kırıkkale),39.47361,33.47861,6.98,ML,1.5,Türkiye,Kırıkkale,Çelebi,Hacıyusuflu,1/20/2025 10:37:15 AM,False,
0.15,649313,Çelebi (Kırıkkale),39.45611,33.41806,7.03,ML,0.9,Türkiye,Kırıkkale,Çelebi,Alıcıyeniyapan,1/20/2025 10:36:29 AM,False,
0.41,649320,Elmadağ (Ankara),40.05833,33.19389,8.23,ML,1.4,Türkiye,Ankara,Elmadağ,Hasanoğlan Havuzbaşı,1/20/2025 2:06:05 PM,True,1/20/2025 2:22:00 PM
0.55,649321,Elmadağ (Ankara),40.05694,33.19444,6.65,ML,1.5,Türkiye,Ankara,Elmadağ,Hasanoğlan Havuzbaşı,1/20/2025 2:06:24 PM,False,
0.49,649426,Ilgaz (Çankırı),40.84472,33.6925,7,ML,1.1,Türkiye,Çankırı,Ilgaz,Ilısılık,1/21/2025 10:38:41 AM,False,
0.23,649430,Yahşihan (Kırıkkale),39.90556,33.35611,7,ML,0.8,Türkiye,Kırıkkale,Yahşihan,Kılıçlar,1/21/2025 11:01:29 AM,False,
0.27,649431,Merkez (Kırıkkale),39.89889,33.55083,7,ML,0.9,Türkiye,Kırıkkale,Merkez,Karacaali,1/21/2025 11:08:48 AM,False,
0.18,649444,Şereflikoçhisar (Ankara),39.24222,33.24389,7,ML,0.6,Türkiye,Ankara,Şereflikoçhisar,Büyükkışla,1/21/2025 1:48:25 PM,False,
0.37,649487,Sulakyurt (Kırıkkale),40.18722,33.91472,7.68,ML,1.1,Türkiye,Kırıkkale,Sulakyurt,Alişeyhli,1/21/2025 9:20:01 PM,False,
0.56,649697,Çerkeş (Çankırı),40.68556,32.80611,7.04,ML,0.9,Türkiye,Çankırı,Çerkeş,Bozcaarmut,1/23/2025 10:40:50 PM,False,
0.68,649766,Etimesgut (Ankara),39.74083,32.59861,4.75,ML,1.9,Türkiye,Ankara,Etimesgut,Fevziye,1/24/2025 1:12:32 PM,False,
0.41,649839,Çerkeş (Çankırı),40.71611,32.98917,10.86,ML,1.7,Türkiye,Çankırı,Çerkeş,Güzelyurt,1/25/2025 3:05:05 AM,False,
0.25,649903,Bahşili (Kırıkkale),39.73944,33.37167,7,ML,0.9,Türkiye,Kırıkkale,Bahşili,Çamlıca,1/25/2025 8:32:54 PM,False,
